scenarios,1
seeds per scenario,20
notes,wifin_naive_mob. 6-100-2
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
49,11.1276,5.32266,62,62,3.17562
49,15.0065,6.15451,62,62,3.38359
38,12.0129,1.78017,48,48,4.633
45,10.0263,5.36857,57,57,5.45684
47,0.594769,1.20769,59,59,3.60877
47,10.065,0.665229,59,59,3.68771
41,7.51311,9.94272,52,52,3.8434
45,3.57947,9.96701,57,57,5.85717
31,5.43983,3.4338,39,39,3.77748
47,6.03761,7.14268,59,59,3.31029
33,7.31453,5.81893,42,42,4.24979
36,1.28512,5.68777,45,45,5.24032
36,5.68864,5.979,45,45,5.31741
42,15.9806,4.6096,53,53,4.28372
50,6.94713,6.33791,63,63,3.55496
40,5.1289,1.51451,50,50,6.18018
45,12.1092,4.08738,57,57,5.50912
40,16.8863,1.00376,50,50,5.06391
32,11.9301,4.11174,40,40,4.44092
37,2.66809,4.68393,47,47,4.07379
50,2.95441,1.38643,63,63,2.99737
30,9.16171,1.31684,38,38,5.4681
36,11.1079,0.290801,45,45,6.30317
34,5.7165,9.4407,43,43,3.44331
45,14.9869,3.54837,57,57,5.44081
45,17.3414,0.453658,57,57,5.32497
43,3.42793,4.42321,54,54,3.18235
48,12.9326,8.58289,61,61,4.70388
33,17.435,1.70985,42,42,4.47101
43,7.93894,7.99104,54,54,3.83241
49,7.24394,5.08014,62,62,3.54353
50,13.7447,1.90225,63,63,3.33886
48,6.3704,4.81968,61,61,4.81598
41,4.3919,7.312,52,52,3.48007
45,3.07228,9.59451,57,57,5.26043
36,0.611121,8.3367,45,45,5.87234
30,0.413331,9.40752,38,38,6.23291
41,16.4847,5.32284,52,52,4.21385
50,5.41212,3.98559,63,63,2.82808
41,6.61282,3.35768,52,52,3.63899
46,19.2119,7.97536,58,58,1.90193
30,2.33182,8.70284,38,38,6.88761
37,19.3732,3.91556,47,47,3.49473
32,0.482683,6.12559,40,40,4.68378
48,18.1832,8.94706,61,61,5.37605
47,3.90458,9.46427,59,59,3.01327
38,12.5368,5.00901,48,48,3.26203
50,6.98785,2.86921,63,63,3.14718
45,7.09171,6.18622,57,57,5.095
44,15.4992,0.971008,56,56,3.29352
39,2.89565,3.67169,49,49,4.10573
45,1.72154,3.56398,57,57,5.53195
49,9.91798,4.72246,62,62,2.7923
37,9.78044,7.68073,47,47,3.31216
31,17.3505,2.32068,39,39,4.00516
31,7.40233,1.31556,39,39,3.81219
33,18.4418,5.39503,42,42,4.71215
42,17.219,7.63591,53,53,4.1665
49,8.12038,6.38145,62,62,3.83116
40,13.1726,4.3111,50,50,5.12601
33,7.46209,9.39579,42,42,3.68048
38,5.55239,2.38333,48,48,4.18307
47,19.6995,8.78982,59,59,3.32895
31,9.47327,4.3764,39,39,1.89465
39,3.46633,3.96854,49,49,3.98652
43,7.19473,4.93156,54,54,2.79098
38,8.3282,9.15492,48,48,4.26336
39,1.75153,5.62872,49,49,3.62456
31,10.8768,8.80964,39,39,4.48979
50,3.09669,7.78835,63,63,3.07777
43,14.8379,2.48942,54,54,2.92341
39,13.9857,3.09438,49,49,4.41035
34,12.7643,6.82177,43,43,3.5191
30,6.06005,5.23007,38,38,5.26283
49,13.5543,7.47899,62,62,3.29052
35,11.7063,8.34621,44,44,4.24595
48,11.1349,8.86512,61,61,4.33391
44,6.19582,9.45599,56,56,3.79629
48,13.0325,2.82847,61,61,4.6348
38,13.8876,8.12954,48,48,3.74579
35,16.7466,7.30546,44,44,4.3153
41,1.06827,8.36555,52,52,4.03723
40,15.627,1.87275,50,50,5.85864
50,13.4768,5.33407,63,63,2.96374
37,4.1594,2.46925,47129,45934,169.028
22,4.088,4.93464,28023,28015,12.5855
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
85,18.8233,6.42927,108271,100056,1237.71
88,7.29606,8.82712,112092,112004,55.1906
100,10.3025,6.6756,127377,105435,1101.38
91,6.72242,1.73748,115914,105943,1058.43
90,6.83177,0.443461,114640,7250,132.207
84,11.4276,6.11419,106997,98363,1057.15
37,15.7855,5.88191,47,47,4.55827
32,11.2547,3.19913,40,40,4.89232
43,8.78524,4.12349,54,54,4.51736
31,12.4848,8.27029,39,39,3.73819
45,11.1162,5.96823,57,57,3.26073
44,10.7238,2.21735,56,56,3.20254
41,15.6938,4.95694,52,52,2.68341
40,3.03445,3.13961,50,50,5.53242
31,11.2497,2.46564,39,39,3.48286
40,9.42348,6.88606,50,50,4.87422
35,13.6176,6.53985,44,44,5.30287
40,9.32797,1.38816,50,50,4.30659
38,19.9189,9.24501,48,48,4.36629
47,4.31302,2.59301,59,59,2.47819
45,1.3071,4.39383,57,57,4.09076
38,14.7656,2.65618,48,48,4.70651
41,8.17018,7.09683,52,52,3.19309
49,0.00873,8.20596,62,62,2.04745
34,9.35048,5.70687,43,43,4.63237
36,6.70163,7.15807,45,45,5.42089
46,0.79292,8.27696,58,58,3.53406
39,13.42,7.55364,49,49,2.88586
45,10.0175,6.59027,57,57,3.29591
43,4.77255,3.28929,54,54,2.95525
31,7.25314,1.24509,39,39,3.56277
38,8.0501,9.52356,48,48,5.50019
35,9.75274,1.09187,44,44,5.19527
46,15.0467,0.917032,58,58,2.17604
38,7.58482,4.63867,48,48,4.47633
40,14.6408,9.47943,50,50,4.55138
35,15.9295,5.11722,44,44,5.60076
37,6.8385,2.01935,47,47,5.08539
36,16.1455,2.11654,45,45,4.85741
37,15.8485,8.00503,47,47,4.32369
47,9.24,2.14895,59,59,3.1705
32,16.8908,2.91191,40,40,4.9797
50,10.6059,8.51522,63,63,2.40775
44,5.54895,1.75577,56,56,2.51921
45,14.8105,0.387734,57,57,3.73011
35,7.62197,5.9209,44,44,3.81939
30,13.3159,8.0645,38,38,5.41448
43,9.78864,0.604877,54,54,3.3116
