scenarios,1
seeds per scenario,20
notes,wifin_alg_simple. 2-100-6
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_10:32:47.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_10:32:47.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,2
155,80,800,6,20
channelNumber, channelWidth, gi, mcs, txPower
39,13.1245,4.63856,9,9,17.3988
50,6.82763,2.04188,12,12,11.1298
42,12.7278,9.64904,10,10,18.6369
48,14.6349,9.82146,12,12,12.6643
47,10.8456,5.003,11,9,11.6404
42,8.99602,0.956404,10,10,21.2033
50,2.3639,8.72878,12,12,7.26325
32,5.16643,0.323704,8,7,20.9107
44,14.2986,4.55723,11,10,16.643
30,13.9072,1.18799,7,7,28.4989
31,9.97266,4.9075,7,7,20.233
34,16.5935,9.22691,8,6,20.4679
36,19.1169,0.773594,9,9,22.107
33,2.46748,7.10519,8,7,19.351
45,6.14728,5.13171,11,10,13.0743
39,5.73972,5.87867,9,9,18.7677
35,9.37353,2.12715,8,6,23.8288
37,4.39095,4.77037,9,9,15.7858
33,9.15407,3.13193,8,8,16.4461
48,8.51746,4.1278,12,12,9.07302
32,13.2332,9.59664,8,8,18.7142
33,16.4911,4.79217,8,8,19.3618
30,1.15548,1.32285,7,7,29.5679
36,15.7316,4.97719,9,9,21.7959
41,9.44277,3.05164,10,9,17.0224
33,7.25058,5.20961,8,8,19.0311
38,16.9589,6.2699,9,9,16.0615
44,14.3656,5.92948,11,10,16.1032
36,4.94599,4.16314,9,9,19.3494
31,4.66198,7.69816,7,7,21.8224
50,4.25478,8.94061,12,12,11.8447
48,15.3534,5.07671,12,12,10.4628
50,11.1848,9.15968,12,12,12.6662
46,10.5688,9.44877,11,9,15.092
31,10.3783,2.95506,7,7,21.2653
40,15.3986,6.48535,10,9,20.7026
33,17.6775,4.27616,8,8,20.0066
43,4.62925,6.0432,10,10,13.1568
39,5.58221,2.43517,9935,9798,4.39184
34,13.6894,6.12185,8661,8519,26.6615
37,18.5423,7.29093,9425,9286,9.04061
21,17.8256,1.77806,5349,5235,8.6211
21,1.38654,7.48977,5349,5219,10.4869
28,14.696,8.31155,7133,6957,38.2548
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,4
155,80,800,6,20
97,19.7058,6.60734,32948,32791,1.68728
92,6.82402,7.20681,31249,30932,1.94856
