scenarios,1
seeds per scenario,20
notes,wifin_alg. 4-100-4
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
channelNumber, channelWidth, gi, mcs, txPower
47,13.5371,6.11227,15,12,15.0254
36,13.4711,3.13588,12,12,16.7178
47,5.49494,1.77428,15,12,11.8418
42,15.1374,4.66188,14,0,-nan
30,15.5376,7.78593,10,10,26.5221
46,6.40405,2.65847,15,12,10.1298
44,14.1106,2.90097,14,13,12.161
50,13.1245,4.63856,16,15,9.02838
42,6.82763,2.04188,14,14,16.2785
39,12.7278,9.64904,13,12,16.2956
50,14.6349,9.82146,16,16,8.97574
42,10.8456,5.003,14,14,17.8782
48,8.99602,0.956404,16,16,11.214
47,2.3639,8.72878,15,12,11.9967
42,5.16643,0.323704,14,13,15.8327
50,14.2986,4.55723,16,16,7.72219
32,13.9072,1.18799,10,10,15.7228
44,9.97266,4.9075,14,14,10.1946
30,16.5935,9.22691,10,10,22.1687
31,19.1169,0.773594,10,9,17.962
34,2.46748,7.10519,11,10,13.7954
36,6.14728,5.13171,12,12,18.7164
33,5.73972,5.87867,11,11,19.616
45,9.37353,2.12715,15,14,7.82364
39,4.39095,4.77037,13,12,16.249
35,9.15407,3.13193,11,8,20.4053
37,8.51746,4.1278,12,12,12.0388
33,13.2332,9.59664,11,10,18.6238
48,16.4911,4.79217,16,16,12.7406
32,1.15548,1.32285,10,9,18.2695
33,15.7316,4.97719,11,10,18.1499
30,9.44277,3.05164,10,10,19.4115
36,7.25058,5.20961,12,12,16.2384
41,16.9589,6.2699,13,12,13.8244
33,14.3656,5.92948,11,10,18.6148
38,4.94599,4.16314,12,11,14.6891
44,4.66198,7.69816,14,13,13.2987
36,4.25478,8.94061,12,12,18.603
31,15.3534,5.07671,10,9,17.9581
50,11.1848,9.15968,16,15,8.69421
48,10.5688,9.44877,16,16,12.7762
50,10.3783,2.95506,16,16,7.38985
46,15.3986,6.48535,15,12,9.27127
31,17.6775,4.27616,10,9,16.8315
40,4.62925,6.0432,13,12,15.1367
33,5.58221,2.43517,11,11,15.4442
43,13.6894,6.12185,14,12,12.9083
39,18.5423,7.29093,13247,13030,14.6197
34,17.8256,1.77806,11548,11394,12.1935
37,1.38654,7.48977,12567,12250,9.34607
21,14.696,8.31155,7133,6973,10.0484
