scenarios,1
seeds per scenario,20
notes,wifin_naive. 2-100-6
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
47,15.0065,6.15451,59,59,3.07798
41,12.0129,1.78017,52,52,3.51386
45,10.0263,5.36857,57,57,4.94355
31,0.594769,1.20769,39,39,3.48751
47,10.065,0.665229,59,59,3.585
33,7.51311,9.94272,42,42,4.29291
36,3.57947,9.96701,45,45,4.929
36,5.43983,3.4338,45,45,5.26746
42,6.03761,7.14268,53,53,3.81884
50,7.31453,5.81893,63,63,3.23406
40,1.28512,5.68777,50,50,5.90903
45,5.68864,5.979,57,57,4.91894
40,15.9806,4.6096,50,50,5.36588
32,6.94713,6.33791,40,40,5.57222
37,5.1289,1.51451,47,47,3.35752
50,12.1092,4.08738,63,63,3.68909
30,16.8863,1.00376,38,38,5.3272
36,11.9301,4.11174,45,45,5.76258
34,2.66809,4.68393,43,43,3.79055
45,2.95441,1.38643,57,57,5.23796
45,9.16171,1.31684,57,57,5.49693
43,11.1079,0.290801,54,54,3.24098
48,5.7165,9.4407,61,61,4.07712
33,14.9869,3.54837,42,42,3.89599
43,17.3414,0.453658,54,54,3.30655
49,3.42793,4.42321,62,62,2.62722
50,12.9326,8.58289,63,63,2.46083
48,17.435,1.70985,61,61,4.79708
41,7.93894,7.99104,52,52,3.73048
45,7.24394,5.08014,57,57,4.84815
36,13.7447,1.90225,45,45,6.05001
30,6.3704,4.81968,38,38,7.19039
41,4.3919,7.312,52,52,3.59932
50,3.07228,9.59451,63,63,2.75034
41,0.611121,8.3367,52,52,4.21937
46,0.413331,9.40752,58,58,2.68136
30,16.4847,5.32284,38,38,6.45981
